code,name,listing_date,shares,listing_board
BISI,BISI International Tbk.,2007-05-28T00:00:00,3000000000,UTAMA
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08T00:00:00,10416229249,Utama
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12T00:00:00,14865343101,Utama
BKDP,Bukit Darmo Property Tbk,2007-06-15T00:00:00,7513992252,Pengembangan
BKSL,Sentul City Tbk.,1997-07-28T00:00:00,67083561082,Utama
BKSW,Bank QNB Indonesia Tbk.,2002-11-21T00:00:00,20232319124,Pengembangan
BLTA,Berlian Laju Tanker Tbk,1990-03-26T00:00:00,25940187103,Utama
BLTZ,Graha Layar Prima Tbk.,2014-04-10T00:00:00,873937142,Pengembangan
BLUE,Berkah Prima Perkasa Tbk.,2019-07-08T00:00:00,418000000,Pengembangan
BMAS,Bank Maspion Indonesia Tbk.,2013-07-11T00:00:00,4399026922,Pengembangan
BMHS,Bundamedik Tbk.,2021-07-06T00:00:00,8603416176,Utama
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14T00:00:00,46199999998,Utama
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29T00:00:00,1159200024,Utama
BMTR,Global Mediacom Tbk.,1995-07-17T00:00:00,16583997586,Utama
BNBA,Bank Bumi Arta Tbk.,2006-06-01T00:00:00,2744280000,Utama
BNBR,Bakrie & Brothers Tbk,1989-08-28T00:00:00,21160865261,Pengembangan
BNGA,Bank CIMB Niaga Tbk.,1989-11-29T00:00:00,24880290775,Utama
BNII,Bank Maybank Indonesia Tbk.,1989-11-21T00:00:00,75357433911,Utama
BNLI,Bank Permata Tbk.,1990-01-15T00:00:00,35819545925,Utama
BOBA,Formosa Ingredient Factory Tbk,2021-11-01T00:00:00,1155750000,Pengembangan
BOGA,Bintang Oto Global Tbk.,2016-12-19T00:00:00,3803526210,Pengembangan
BOLA,Bali Bintang Sejahtera Tbk.,2019-06-17T00:00:00,6000000000,Pengembangan
BOLT,Garuda Metalindo Tbk.,2015-07-07T00:00:00,2343750000,Pengembangan
BOSS,Borneo Olah Sarana Sukses Tbk.,2018-02-15T00:00:00,1400000000,Pengembangan
BPFI,Batavia Prosperindo Finance Tb,2009-06-01T00:00:00,2673995362,Pengembangan
BPII,Batavia Prosperindo Internasio,2014-07-08T00:00:00,562224662,Pengembangan
BPTR,Batavia Prosperindo Trans Tbk.,2018-07-09T00:00:00,1550000000,Utama
BRAM,Indo Kordsa Tbk.,1990-09-05T00:00:00,450000000,Utama
BRIS,Bank Syariah Indonesia Tbk.,2018-05-09T00:00:00,40717924372,Utama
BRMS,Bumi Resources Minerals Tbk.,2010-12-09T00:00:00,141784040338,Pengembangan
BRNA,Berlina Tbk.,1989-11-06T00:00:00,979110000,Pengembangan
BRPT,Barito Pacific Tbk.,1993-10-01T00:00:00,93747218044,Utama
BSDE,Bumi Serpong Damai Tbk.,2008-06-06T00:00:00,21171365812,Utama
BSIM,Bank Sinarmas Tbk.,2010-12-13T00:00:00,19517921842,Utama
BSML,Bintang Samudera Mandiri Lines,2021-12-16T00:00:00,1850225000,Pengembangan
BSSR,Baramulti Suksessarana Tbk.,2012-11-08T00:00:00,2616500000,Pengembangan
BSWD,Bank Of India Indonesia Tbk.,2002-05-01T00:00:00,1374912000,Pengembangan
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14T00:00:00,46277496376,Pengembangan
BTEL,Bakrie Telecom Tbk.,2006-02-03T00:00:00,36822665755,Utama
BTON,Betonjaya Manunggal Tbk.,2001-07-18T00:00:00,720000000,PENGEMBANGAN
BTPN,Bank BTPN Tbk.,2008-03-12T00:00:00,8066054461,Utama
BTPS,Bank BTPN Syariah Tbk.,2018-05-08T00:00:00,7626663000,Utama
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08T00:00:00,4498997362,UTAMA
BUKA,Bukalapak.com Tbk.,2021-08-06T00:00:00,103062019354,Pengembangan
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29T00:00:00,2640452000,Pengembangan
BULL,Buana Lintas Lautan Tbk.,2011-05-23T00:00:00,14117599210,Utama
BUMI,Bumi Resources Tbk.,1990-07-30T00:00:00,115634113853,Pengembangan
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12T00:00:00,6811269200,Pengembangan
BVIC,Bank Victoria International Tb,1999-06-30T00:00:00,10382261242,Utama
BWPT,Eagle High Plantations Tbk.,2009-10-27T00:00:00,31525291000,Utama
BYAN,Bayan Resources Tbk.,2008-08-12T00:00:00,3333333500,Utama
CAKK,Cahayaputra Asa Keramik Tbk.,2018-10-31T00:00:00,1203300219,PENGEMBANGAN
CAMP,Campina Ice Cream Industry Tbk,2017-12-19T00:00:00,5885000000,Utama
CANI,Capitol Nusantara Indonesia Tb,2014-01-16T00:00:00,833440000,Pengembangan
CARE,Metro Healthcare Indonesia Tbk,2020-03-13T00:00:00,33250000000,Pengembangan
CARS,Industri dan Perdagangan Bintr,2017-04-10T00:00:00,15000000000,Utama
CASA,Capital Financial Indonesia Tb,2016-07-19T00:00:00,54476269803,Pengembangan
CASH,Cashlez Worldwide Indonesia Tb,2020-05-04T00:00:00,1431125517,Akselerasi
CASS,Cardig Aero Services Tbk.,2011-12-05T00:00:00,2086950000,Pengembangan
CBMF,Cahaya Bintang Medan Tbk.,2020-04-09T00:00:00,1875000000,PENGEMBANGAN
CCSI,Communication Cable Systems In,2019-06-18T00:00:00,1199999998,Pengembangan
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09T00:00:00,595000000,UTAMA
CENT,Centratama Telekomunikasi Indo,2001-11-01T00:00:00,31183464900,Pengembangan
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27T00:00:00,3984520457,Utama
CINT,Chitose Internasional Tbk.,2014-06-27T00:00:00,1000000000,Pengembangan
CITA,Cita Mineral Investindo Tbk.,2002-03-20T00:00:00,3960361250,Pengembangan
CITY,Natura City Developments Tbk.,2018-09-28T00:00:00,5405188966,Utama
CLAY,Citra Putra Realty Tbk.,2019-01-18T00:00:00,2570000000,Pengembangan
CLEO,Sariguna Primatirta Tbk.,2017-05-05T00:00:00,12000000000,Utama
CLPI,Colorpak Indonesia Tbk.,2001-11-30T00:00:00,306338500,PENGEMBANGAN
